涨停日期,股票代码,买入价,卖出价,盈亏,买入日期开盘涨跌幅,买入日期收盘涨跌幅,卖出日期开盘涨跌幅,卖出日期收盘涨跌幅,盈亏比例,总数,排名,涨跌幅区间,凯莉公式仓位,胜率,仓位
2025-03-25,300963,12.79,10.73,-2.0599999999999987,7.118927973199328,0.1675041876047014,-2.842809364548508,-10.284280936454852,-16.106333072713046,12,2,"[7, 8)",-0.6442928670794661,0.3,0.0
2025-03-25,301082,17.89,16.46,-1.4299999999999995,3.290993071593535,3.752886836027705,-1.0016694490818014,-8.40289371174178,-7.993292342090552,12,7,"[3, 4)",-0.015844588359372802,0.42857142857142855,0.0
2025-03-25,301082,17.99,16.56,-1.4299999999999995,3.272101033295044,3.731343283582081,-0.9961261759822896,-8.356391809629228,-7.948860478043357,12,8,"[3, 4)",-0.12430779606339709,0.42857142857142855,0.0
2025-03-25,301137,25.41,22.91,-2.5,5.043406366267048,11.657709797436958,-7.10847834135506,-15.179563124768608,-9.838646202282565,12,3,"[5, 6)",0.14502762886392706,0.42857142857142855,0.14502762886392706
2025-03-25,301137,25.5,23.0,-2.5,5.024711696869847,11.614497528830316,-7.084870848708492,-15.12915129151292,-9.803921568627452,12,4,"[5, 6)",-0.5778141228296236,0.3333333333333333,0.0
2025-03-26,300421,18.88,17.65,-1.2300000000000004,0.5860415556739448,-9.643047416089498,0.1768867924528159,4.068396226415081,-6.514830508474578,16,7,"[0, 1)",0.2886558604447509,0.64,0.2886558604447509
2025-03-26,300421,19.0,17.77,-1.2300000000000004,0.5823186871360477,-9.581789306511393,0.1756440281030512,4.039812646370032,-6.473684210526318,16,8,"[0, 1)",-0.12274593288928337,0.5,0.0
2025-03-26,300611,31.98,31.75,-0.2300000000000004,-2.022058823529412,-9.98774509803922,3.097345132743364,8.066712049012938,-0.7191994996873059,16,12,"[-3, -2)",0.12744534922126127,0.25,0.12744534922126127
2025-03-26,300611,32.1,31.87,-0.2300000000000004,-2.0146520146520044,-9.951159951159946,3.084745762711865,8.03389830508475,-0.7165109034267926,16,11,"[-3, -2)",0.35175233884336443,0.6428571428571429,0.35175233884336443
2025-03-26,300643,17.24,15.82,-1.4199999999999982,-1.4857142857142946,-8.057142857142859,-0.0621504039776355,-1.6780609073958956,-8.236658932714608,16,10,"[-2, -1)",-0.005202473424222198,0.25,0.0
2025-03-26,300643,17.4,15.98,-1.4199999999999982,-1.4722536806342104,-7.984144960362402,-0.0615384615384711,-1.6615384615384587,-8.160919540229875,16,9,"[-2, -1)",0.044920563929051166,0.25,0.044920563929051166
2025-03-26,300809,50.09,52.08,1.9899999999999949,3.0234471410942123,1.5837104072398256,-0.9718566511439644,5.44644664911925,3.972848872030335,16,5,"[3, 4)",-0.18624558163906874,0.44,0.0
2025-03-26,300809,50.19,52.18,1.990000000000002,3.0172413793103425,1.580459770114949,-0.9698929076581206,5.435441503334002,3.9649332536361865,16,6,"[3, 4)",-0.42870597767166385,0.46153846153846156,0.0
2025-03-26,300871,19.85,24.89,5.039999999999999,14.146060954571595,20.126509488211617,10.818573480134026,19.147917663954043,25.390428211586897,16,1,"[14, 15)",-0.29113439165829086,0.45454545454545453,0.0
2025-03-26,300871,19.96,25.0,5.039999999999999,14.057142857142862,20.0,10.76190476190477,19.047619047619047,25.250501002004,16,2,"[14, 15)",-0.14085082884974792,0.25,0.0
